"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296400923","14:37:00","14:37:00","174","4","Oceanside","0","14:37:00","1"
"296400923","14:45:00","14:45:00","128","5","Oceanside","0","14:45:00","1"
"296400923","14:50:00","14:50:00","145","6","Oceanside","0","14:50:00","1"
"296400923","14:55:00","14:55:00","154","7","Oceanside","0","14:55:00","1"
"296400923","15:01:00","15:01:00","156","8","Oceanside","0","15:01:00","1"
"296400923","15:09:00","15:09:00","140","9","Oceanside","0","15:09:00","1"
"296400923","15:19:00","15:19:00","141","10","Oceanside","0","15:19:00","1"
"296400923","15:25:00","15:25:00","153","11","Oceanside","0","15:25:00","1"
"296400923","15:38:00","15:38:00","152","12","Oceanside","0","15:38:00","1"
"296400923","15:41:00","15:41:00","133","13","Oceanside","0","15:41:00","1"
"296400923","16:08:00","16:08:00","144","14","Oceanside","0","16:08:00","1"
"296500082","04:29:00","04:29:00","185","1","Oceanside","0","04:29:00","1"
"296500082","04:33:00","04:33:00","124","2","Oceanside","0","04:33:00","1"
"296500082","04:50:00","04:50:00","123","3","Oceanside","0","04:50:00","1"
"296500082","05:02:00","05:02:00","148","4","Oceanside","0","05:02:00","1"
"296500082","05:10:00","05:10:00","147","5","Oceanside","0","05:10:00","1"
"296500082","05:15:00","05:15:00","173","6","Oceanside","0","05:15:00","1"
"296500082","05:35:00","05:35:00","171","7","Oceanside","0","05:35:00","1"
"296500082","05:41:00","05:41:00","145","8","Oceanside","0","05:41:00","1"
"296500082","05:47:00","05:47:00","154","9","Oceanside","0","05:47:00","1"
"296500082","05:53:00","05:53:00","156","10","Oceanside","0","05:53:00","1"
"296500082","06:01:00","06:01:00","140","11","Oceanside","0","06:01:00","1"
"296500082","06:11:00","06:11:00","141","12","Oceanside","0","06:11:00","1"
"296500082","06:17:00","06:17:00","153","13","Oceanside","0","06:17:00","1"
"296500082","06:26:00","06:26:00","152","14","Oceanside","0","06:26:00","1"
"296500082","06:56:00","06:56:00","144","15","Oceanside","0","06:56:00","1"
"296500084","05:18:00","05:18:00","185","1","Irvine","0","05:18:00","1"
"296500084","05:23:00","05:23:00","124","2","Irvine","0","05:23:00","1"
